Data;4385 - PIB mensal - Em US$ milhões - US$ (milhões)
02/1999;45.384
03/1999;50.079
04/1999;49.165
05/1999;49.563
06/1999;49.813
07/1999;50.400
08/1999;51.852
09/1999;51.863
10/1999;52.678
11/1999;52.188
12/1999;50.054
01/2000;49.367
02/2000;51.269
03/2000;54.284
04/2000;52.099
05/2000;54.569
06/2000;55.104
07/2000;55.853
08/2000;57.258
09/2000;55.947
10/2000;58.193
11/2000;57.145
12/2000;54.620
01/2001;44.006
02/2001;44.227
03/2001;47.483
04/2001;46.705
05/2001;48.304
06/2001;45.024
07/2001;47.259
08/2001;48.406
09/2001;47.122
10/2001;48.468
11/2001;47.790
12/2001;44.767
01/2002;38.931
02/2002;38.954
03/2002;41.824
04/2002;42.076
05/2002;42.426
06/2002;41.359
07/2002;43.213
08/2002;44.146
09/2002;43.665
10/2002;45.256
11/2002;44.313
12/2002;41.939
01/2003;36.233
02/2003;36.263
03/2003;40.302
04/2003;44.825
05/2003;46.994
06/2003;47.459
07/2003;49.844
08/2003;47.746
09/2003;51.113
10/2003;55.022
11/2003;52.848
12/2003;50.816
01/2004;49.797
02/2004;48.225
03/2004;55.204
04/2004;54.683
05/2004;51.592
06/2004;51.909
07/2004;55.343
08/2004;55.908
09/2004;58.359
10/2004;61.003
11/2004;63.719
12/2004;63.597
01/2005;59.732
02/2005;61.217
03/2005;65.406
04/2005;68.474
05/2005;72.055
06/2005;73.779
07/2005;75.917
08/2005;78.461
09/2005;79.783
10/2005;84.899
11/2005;88.279
12/2005;84.031
01/2006;79.578
02/2006;81.623
03/2006;90.690
04/2006;88.452
05/2006;91.180
06/2006;86.562
07/2006;92.961
08/2006;96.874
09/2006;94.804
10/2006;101.964
11/2006;102.373
12/2006;100.070
01/2007;96.484
02/2007;95.918
03/2007;106.527
04/2007;107.311
05/2007;114.272
06/2007;115.393
07/2007;121.838
08/2007;118.077
09/2007;118.496
10/2007;135.121
11/2007;135.997
12/2007;131.363
01/2008;129.544
02/2008;132.414
03/2008;142.640
04/2008;147.551
05/2008;151.453
06/2008;158.166
07/2008;167.383
08/2008;163.441
09/2008;148.641
10/2008;128.520
11/2008;117.632
12/2008;105.763
01/2009;103.864
02/2009;102.646
03/2009;113.744
04/2009;116.932
05/2009;127.738
06/2009;135.895
07/2009;142.855
08/2009;150.354
09/2009;156.089
10/2009;175.127
11/2009;176.003
12/2009;171.378
01/2010;158.339
02/2010;152.791
03/2010;177.533
04/2010;176.816
05/2010;173.905
06/2010;175.093
07/2010;185.898
08/2010;189.077
09/2010;196.166
10/2010;208.810
11/2010;209.545
12/2010;205.779
01/2011;195.733
02/2011;199.277
03/2011;214.893
04/2011;223.396
05/2011;228.025
06/2011;228.974
07/2011;234.556
08/2011;234.390
09/2011;211.180
